"Date","Payee","Category","Amount"
"6/19/2017","Slice Pizza","Food & Dining:Restaurants","4.46"
"6/19/2017","Jim & Patty's Coffee","Dining","-2.34"
"6/19/2017","Fred M Fuel","Auto","-21.25"
"6/17/2017","NEXT ADVENTURE INC","Recreation","-23.94"
"6/17/2017","Portland Water Bureau","Utilities:Water","-238.95"
"6/17/2017","Les Schwab Tires","Auto","90.02"
"6/17/2017","NEXT ADVENTURE INC","Recreation","-4.79"
"6/17/2017","American Civil Liberties Union","Gifts & Donations:Charity","-9.69"
"6/16/2017","Etsy.com","Recreation","-59.41"
"6/16/2017","Jim & Patty's Coffee","Dining","-1.31"
"6/15/2017","Safeway","Groceries","-40.95"
"6/15/2017","COINBASE CHEAPSIDE","Financial","-371.38"
"6/15/2017","Home Depot","Household","-69.53"
"6/14/2017",""Parkrose Hardware"," Inc."","Household:Landscaping"
"6/13/2017","Community Cycling Center","Shopping:Sporting Goods","-40.19"
"6/12/2017","Nounproject.com Ca","Business Expenses","-9.57"
"6/12/2017","Penzeys Prtlnd Pearl","Groceries","-6.73"
"6/10/2017","Barber Shop","Personal Care","-169.13"
"6/10/2017","FAT TIRE FARM","Recreation","-13.14"
"6/9/2017","Tartine Lp","Work:Dining","-28.03"
"6/9/2017","Valencia Street LLC","Work:Dining","-15.12"
"6/8/2017","Rainbow Grocery","Work:Dining","-29.68"
"6/8/2017","Rainbow Grocery","Gifts Given","-35.44"
"6/8/2017","Starbucks","Dining","-3.65"
"6/8/2017","Lyft","Work:Transportation","-8.33"
"6/8/2017","Lyft","Work:Transportation","-27.72"
"6/8/2017","Tartine Lp","Work:Dining","-8.25"
"6/7/2017","STUMPTOWN PDX","Food & Dining:Coffee Shops","-1.65"
"6/7/2017","COINBASE CHEAPSIDE","Financial","-199.06"
"6/7/2017","Tartine Lp","Work:Dining","-18.77"
"6/7/2017","Johnny Foley's Irish House","Work:Dining","-18.23"
"6/7/2017","STUMPTOWN PDX","Food & Dining:Coffee Shops","-1.86"
"6/6/2017","NEW SEASONS MARKET","Groceries","-1.3"
"6/6/2017","Lyft","Work:Transportation","-27.12"
"6/6/2017","Shalimar Restaraunt Oakland","Work:Dining","-37.32"
"6/6/2017","BIKE GALLERY HW","Recreation","-10.69"
"6/6/2017","Lyft","Work:Transportation","-4.39"
"6/6/2017","Blue","Work:Dining","-2.41"
"6/6/2017","Lyft","Work:Transportation","-1.04"
"6/5/2017","Direct","Transfer","1861.74"
"6/3/2017","Fred M Fuel","Auto","-26.4"
"6/3/2017","El Guero Mexican","Work:Dining","-7.39"
"6/3/2017","Momos","Food & Dining:Restaurants","-3.39"
"6/2/2017","Taborspace","Food & Dining:Coffee Shops","-1.6"
"6/1/2017","Tusk","Food & Dining:Restaurants","-89.06"
"5/31/2017","Helen Bernhart Bakery","Dining","-17.78"
"5/30/2017","Arrangement","Gifts Given","-4.15"
